"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"CHEA_gene_set_library_crisp","6688","SPI1","1.289142408648149e-16","15.88969910446671","8298","259","169","21585","RGS1,SIGLEC5,GPNMB,FOS,ARL11,PLVAP,FAM167A,SLC48A1,CD163,SIGLEC1,GCNT1,ZFAT,LRRC25,SYK,CSF1R,ST3GAL5,CYBB,LAPTM5,VCAM1,ID1,TRADD,TMSB10,TTC28,CEBPD,CXCL2,VPS37B,JUNB,SRGAP2,MAN1C1,CCDC88B,COTL1,NUAK2,IER2,DOK2,GLTP,NCKAP1L,PABPC1,ITGB2,EPSTI1,ARRB2,PLD1,NFKBIA,ZFP36,RNPEP,HID1,CYTIP,NCOA4,SLC12A6,SLC9A1,ARHGEF2,ADRB2,MFAP3,SLAMF6,SLC15A3,RABL6,NINJ1,DUSP1,PTAFR,ETV5,TBXAS1,SLC43A2,XDH,AP1B1,CAPZA1,ATIC,NCF1,QRICH1,PPP2CB,TMSB4X,KEAP1,CHD2,SLA,LCP1,CNPY3,ST14,STAG2,SLAMF9,MARCKS,DUSP6,UMPS,EIF5B,WIPF1,FMNL1,USP4,RPS6KA3,XRCC1,KIF1B,STX2,HP1BP3,TEP1,KLHL8,FBXO34,MSN,GIT2,MAP2K5,RCN2,PREB,IFT122,TUBGCP2,INPP5B,FAM110A,GSN,WAS,CLEC10A,COLGALT1,PUM2,ARHGDIA,USP36,LONP2,PXN,PPP1R9B,PCED1B,RFX7,PPP1R18,RASSF5,PI4KA,IER3,RPL13A,GTF2H5,SNX27,PRKX,GGPS1,LIMK1,CYFIP1,MALT1,MAPT,RNASEH2C,LGALS1,PGAP2,ID2,TM6SF1,DAGLB,SLFN13,PTPN7,SLC44A2,LRCH4,ACTL6A,CASP2,TXNIP,PPM1D,MAP3K11,PPA2,EMC3,ELMSAN1,GLG1,SIRPA,ILK,EEF2K,MEGF8,LATS2,MLX,SH3BP5,TRAPPC4,CD200R1,DPY19L1,INTS6,EEPD1,ACTB,GCLC,AMZ2,CTBP1,SNRNP48,BAMBI,AP2B1,AMDHD2,TRIM27,SF1,SLC22A17,CD14"
"CHEA_gene_set_library_crisp","861","RUNX1","6.935102595832275e-16","15.158947109720582","7096","261","153","21585","RGS1,SIGLEC5,THBD,ACP5,FOS,SLC48A1,GCNT1,AXL,ZFAT,RHOB,SDC3,LRRC25,CTSD,MAF,SYK,ACER3,ST3GAL5,STX3,LAPTM5,KCNA2,GALNS,THEMIS2,TMSB10,CEBPD,SLC7A8,VPS37B,JUNB,SRGAP2,MAN1C1,COTL1,EGR1,NUAK2,IER2,DOK2,PABPC1,ITGB2,ACTN1,ARRB2,NFKBIA,RNPEP,HID1,CYTIP,NCOA4,SLC12A6,GNPDA1,SLC9A1,FKBP5,ARHGEF2,MRGBP,ADRB2,PLD3,SLC15A3,RABL6,NINJ1,DUSP1,PTAFR,ETV5,TBXAS1,SLC43A2,XDH,NFE2L1,GRN,HPS3,ATIC,PPP2CB,TMSB4X,KEAP1,MED9,CHD2,SLA,LCP1,CNPY3,ST14,STAG2,TCTA,PRMT5,VIM,DUSP6,HNRNPA1,WIPF1,FMNL1,TNS3,USP4,HES1,KIF1B,HP1BP3,DCAF5,FBXO34,MSN,MAP2K5,RCN2,TUBGCP2,INPP5B,GSN,EIF4E,PRTFDC1,WAS,PUM2,ARHGDIA,USP36,GJA4,PPP1R9B,RSRP1,ICK,RFX7,PPP1R18,MAP3K4,RASSF5,PI4KA,RPL13A,IQSEC2,SNX27,GGPS1,CAPN7,MAGIX,PPP4R1,LGALS1,SLC20A1,PGAP2,ID2,PIK3CA,TM6SF1,PTPN7,SLC44A2,LRCH4,ACTL6A,CASP2,TXNIP,PPA2,ELMSAN1,GLG1,RAVER1,LATS2,MLX,SH3BP5,TLE4,CTSA,TRAPPC4,ZFP36L2,ZDHHC7,EEPD1,ACTB,GCLC,AMZ2,CTBP1,BAMBI,SOCS2,AMDHD2,LMO2,SF1,CD14,BTG2,LRRC8C"
"CHEA_gene_set_library_crisp","64710","NUCKS1","1.252833418523584e-14","13.902106670606361","587","260","37","21585","HMOX1,FOS,CTSD,MAF,CEBPD,JUNB,EGR1,PLD1,NFKBIA,ZFP36,NCOA4,IRF8,FKBP5,ADRB2,DUSP1,DUSP6,HNRNPA1,HES1,GIT2,MAP2K5,EIF4E,ARHGDIA,PXN,MAP3K4,ZFP36L1,MALT1,ID2,TCF7L1,ACTL6A,PPM1D,EEF2K,LATS2,SH3BP5,TLE4,CTBP1,BAMBI,BTG2"
"CHEA_gene_set_library_crisp","2122","MECOM","2.3090317856282413e-14","13.636570088638504","1790","227","60","21585","RGS1,SIGLEC5,ARL11,PLVAP,SLC48A1,LRRC25,SYK,CSF1R,LAPTM5,ID1,CEBPD,CXCL2,JUNB,SRGAP2,CCDC88B,NUAK2,IER2,DOK2,NCKAP1L,ITGB2,ARRB2,NFKBIA,NCOA4,SLC12A6,SLC9A1,PLD3,SLC15A3,PTAFR,CDC42EP2,NFE2L1,CAPZA1,NCF1,KEAP1,SLA,LCP1,CNPY3,ST14,BEST1,VIM,SLAMF9,DUSP6,VWA5A,MSN,PREB,FAM110A,CLEC10A,SARS,ARHGDIA,ICK,PPP1R18,MALT1,TM6SF1,DAGLB,PTPN7,SLC44A2,LRCH4,CASP2,TXNIP,ELMSAN1,SIRPA"
"CHEA_gene_set_library_crisp","4286","MITF","1.74214033888301e-11","10.758916863135727","5470","254","118","21585","HMOX1,GPNMB,ACP5,FOS,SIGLEC1,MPPED1,ZFAT,CTSD,SYK,ST3GAL5,STX3,EPB41L3,LAPTM5,TPP1,KCNA2,ID1,TTC28,WFS1,SDF2L1,SLC7A8,MAFB,ELMO2,VPS37B,JUNB,MAN1C1,COTL1,TBC1D2B,IER2,GLTP,CD74,ITGB2,ACTN1,PLD1,NFKBIA,GNPDA1,SLC9A1,FKBP5,MRGBP,PLD3,NINJ1,DUSP1,PTAFR,ETV5,AP1B1,GRN,RHBDF2,TMEM134,HPS3,ATIC,TMSB4X,MED9,CHD2,ST14,STAG2,BEST1,PCK1,SLAMF9,DUSP6,UMPS,EIF5B,WIPF1,DHX32,TNS3,XRCC1,HES1,STX2,HP1BP3,DCAF5,CNDP1,MSN,GIT2,MAP2K5,RCN2,INPP5B,GSN,WAS,COLGALT1,PUM2,ARHGDIA,USP36,LONP2,PXN,RSRP1,ICK,PPP1R18,PI4KA,ZFP36L1,IER3,SNX27,PRKX,CAPN7,CYFIP1,MAPT,SLC20A1,PGAP2,ID2,ABHD12,DAGLB,ACTL6A,TXNIP,MAP3K11,SEMA4C,EMC3,ELMSAN1,SIRPA,RAVER1,EEF2K,LATS2,MLX,ZFP36L2,ZDHHC7,EEPD1,GCLC,AMZ2,CTBP1,SNRNP48,SOCS2,AMDHD2"
"CHEA_gene_set_library_crisp","2313","FLI1","3.3239837517097635e-11","10.478341107800091","6737","248","132","21585","RGS1,SIGLEC5,HMOX1,FOS,ARL11,AXL,RHOB,LRRC25,CTSD,SYK,CSF1R,ST3GAL5,LAPTM5,VCAM1,GALNS,THEMIS2,TMSB10,TTC28,CTTNBP2NL,CXCL2,VPS37B,JUNB,MAN1C1,COTL1,EGR1,NUAK2,IER2,NCKAP1L,CD74,PABPC1,ITGB2,EPSTI1,ACTN1,NFXL1,ARRB2,ZFP36,RNPEP,NCOA4,IRF8,SLC9A1,FKBP5,ARHGEF2,MRGBP,CLEC4A,MFAP3,PLD3,SLC15A3,NINJ1,DUSP1,PTAFR,ETV5,TBXAS1,SLC43A2,LIPA,NFE2L1,CAPZA1,RHBDF2,ATIC,TMSB4X,CHD2,SLA,LCP1,ST14,TCTA,BEST1,SLAMF9,DUSP6,HNRNPA1,WIPF1,FMNL1,DHX32,TNS3,USP4,STX2,DCAF5,TEP1,MSN,GIT2,RCN2,PREB,IFT122,INPP5B,FAM110A,GSN,WAS,CLEC10A,PUM2,SARS,USP36,LONP2,GJA4,PPP1R9B,RSRP1,ICK,RFX7,WRAP53,PPP1R18,PI4KA,ZFP36L1,IER3,GTF2H5,SNX27,GGPS1,CYFIP1,MAGIX,LGALS1,PIK3CA,TM6SF1,DAGLB,PTPN7,SLC44A2,LRCH4,CASP2,TXNIP,PPA2,SEMA4C,EMC3,ELMSAN1,SIRPA,CHERP,RAVER1,EEF2K,MLX,TLE4,CTSA,TRAPPC4,ZFP36L2,INTS6,ZDHHC7,ACTB,GCLC,AMZ2"
"CHEA_gene_set_library_crisp","2623","GATA1","3.90671616529335e-10","9.408188140432408","4245","261","99","21585","RGS1,ACP5,FOS,SLC48A1,GCNT1,MPPED1,ZFAT,SDC3,CTSD,MAF,SYK,ST3GAL5,EPB41L3,LAPTM5,KCNA2,ID1,GALNS,THEMIS2,SDF2L1,SLC7A8,VPS37B,JUNB,SRGAP2,MAN1C1,CCDC88B,COTL1,EGR1,TBC1D2B,DOK2,PABPC1,ITGB2,ACTN1,ZFP36,NCOA4,GNPDA1,SLC9A1,ARHGEF2,ADRB2,SLAMF6,PLD3,NINJ1,PTAFR,TBXAS1,CDC42EP2,LIPA,CAPZA1,KEAP1,MED9,CHD2,SLA,LCP1,ARRDC4,VWA5A,WIPF1,DHX32,TNS3,USP4,HES1,FBXO34,INPP5B,FAM110A,GSN,PRTFDC1,WAS,USP36,PXN,PPP1R9B,PCED1B,WRAP53,RPL13A,SNX27,LGALS1,SLC20A1,PGAP2,ID2,DAGLB,SLC44A2,LRCH4,CASP2,TXNIP,PPM1D,PPA2,GLG1,DEF8,RAVER1,EEF2K,SH3BP5,TLE4,CD200R1,ZFP36L2,DPY19L1,ZDHHC7,ACTB,CTBP1,AP2B1,LMO2,CD14,BTG2,LRRC8C"
"CHEA_gene_set_library_crisp","6886","TAL1","1.39936746775148e-9","8.854068226708174","3375","261","84","21585","RGS1,ACP5,FOS,PLVAP,SLC48A1,GCNT1,ZFAT,RHOB,LRRC25,SYK,ACER3,CSF1R,ST3GAL5,LAPTM5,TPP1,GALNS,TMSB10,MAFB,VPS37B,JUNB,EGR1,TBC1D2B,IER2,DOK2,ITGB2,ARRB2,ZFP36,NCOA4,SLC9A1,ARHGEF2,MRGBP,ADRB2,NINJ1,DUSP1,PTAFR,TBXAS1,CDC42EP2,CAPZA1,RHBDF2,ATIC,PPP2CB,TMSB4X,KEAP1,SLA,VIM,PCK1,DUSP6,UMPS,EIF5B,FMNL1,TNS3,USP4,HES1,HP1BP3,RCN2,TUBGCP2,INPP5B,FAM110A,ARHGDIA,PPP1R9B,ICK,PCED1B,PPP1R18,ZFP36L1,IER3,GTF2H5,MAPT,SLC20A1,SLFN13,PTPN7,ACTL6A,TXNIP,PPM1D,PPA2,ILK,RAVER1,ZFP36L2,INTS6,ACTB,GCLC,CTBP1,TRIM27,BTG2,LRRC8C"
"CHEA_gene_set_library_crisp","4602","MYB","1.3381303296540256e-8","7.873501585601767","903","255","36","21585","THBD,RHOB,VCAM1,ID1,TMSB10,JUNB,PABPC1,PLD1,ZFP36,FKBP5,DUSP1,ETV5,TBXAS1,XDH,RHBDF2,LCP1,DUSP6,UMPS,WIPF1,FMNL1,TNS3,HP1BP3,FAM110A,GSN,CLEC10A,COLGALT1,ZFP36L1,IER3,LIMK1,MALT1,DAGLB,SIRPA,EEF2K,SOCS2,AMDHD2,TRIM27"
"CHEA_gene_set_library_crisp","4211","MEIS1","1.9052190718190248e-8","7.720055079719598","1344","177","36","21585","RGS1,HMOX1,PLVAP,AXL,RHOB,LRRC25,MAF,LAPTM5,ID1,CEBPD,SDF2L1,MAFB,CTTNBP2NL,ELMO2,JUNB,COTL1,TBC1D2B,DOK2,ITGB2,SLC9A1,SLC15A3,RABL6,NINJ1,DUSP1,TMEM134,KEAP1,VIM,DUSP6,EIF5B,HES1,HP1BP3,FBXO34,FAM110A,COLGALT1,PXN,ICK"
